AQS_Site_ID,COUNTYNS,pct_below_median
270317810,00659461,0.4642857142857143
290390001,00758474,0.4642857142857143
320030298,00863600,0.4642857142857143
100010003,00217271,0.46703296703296704
170313301,01784766,0.46703296703296704
311770002,00835910,0.46703296703296704
391330002,01074079,0.46703296703296704
050350005,00069162,0.4697802197802198
180890026,00450495,0.4697802197802198
420490003,01209178,0.4697802197802198
060290011,02054176,0.4725274725274725
212270009,00516960,0.4725274725274725
340011006,00882270,0.4725274725274725
371470006,01008578,0.4725274725274725
420070014,01214112,0.4725274725274725
482010024,01383886,0.4725274725274725
280590006,00695753,0.47527472527472525
320030043,00863600,0.47527472527472525
330050007,00873176,0.47527472527472525
360290023,00974113,0.47527472527472525
360550015,00974126,0.47527472527472525
371830021,01008592,0.47527472527472525
300710010,01720023,0.47802197802197804
171670012,01785010,0.4807692307692308
260910007,01622988,0.4807692307692308
516800015,01498429,0.4807692307692308
171971002,01785190,0.4835164835164835
180390008,00450348,0.48484848484848486
240270006,01709077,0.48484848484848486
191130040,00465245,0.48626373626373626
340150002,00882277,0.48626373626373626
421150215,01213688,0.48626373626373626
060792007,00277304,0.489010989010989
170434002,00422191,0.489010989010989
170890007,00424246,0.489010989010989
260770008,01622981,0.489010989010989
360130006,00974105,0.489010989010989
420510524,01209179,0.489010989010989
481130069,01383842,0.489010989010989
060410001,00277285,0.49175824175824173
271230871,00659507,0.49175824175824173
380250004,01035623,0.49175824175824173
490353010,01448031,0.49175824175824173
540290009,01560574,0.49175824175824173
120990022,00295761,0.4945054945054945
171430037,01784920,0.4945054945054945
270834210,00659487,0.4945054945054945
390950026,01074060,0.4945054945054945
420010001,01213656,0.4945054945054945
550790056,01581100,0.4945054945054945
550790058,01581100,0.4945054945054945
261130001,01622999,0.49725274725274726
360290005,00974113,0.49725274725274726
371230001,01008572,0.49725274725274726
420750100,01214034,0.49725274725274726
470090011,01639726,0.49725274725274726
221210001,00559570,0.5
261630095,01623022,0.5
450830011,01248592,0.5
482450021,01383908,0.5
550030010,01581061,0.5
060670012,00277298,0.5027472527472527
280330002,00695741,0.5027472527472527
340210005,00882229,0.5027472527472527
390350034,01074030,0.5027472527472527
440071010,01219781,0.5027472527472527
131210039,01694833,0.5054945054945055
160410002,00395585,0.5054945054945055
171570001,01784967,0.5054945054945055
471050109,01639767,0.5054945054945055
483750320,01383973,0.5054945054945055
340071007,00882273,0.5082417582417582
420950025,01209185,0.5082417582417582
421010076,01209187,0.5082417582417582
510870015,01480133,0.5082417582417582
220330009,00558530,0.510989010989011
420430401,01213667,0.510989010989011
100031012,00217270,0.5137362637362637
